PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
5mU7t,rn2k2r/ppp2ppp/3p4/4p2N/2B1P2q/2N4b/PPPP1bP1/R1BQ1R1K w kq - 0 10,g2h3 h4h3,670,88,97,300,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/T32yKyxC#19,Bishops_Opening Bishops_Opening_Boi_Variation
5mYPL,1B1k3r/pq4p1/5b2/8/2QP4/2P3Pp/PP5P/R4RK1 w - - 1 25,b8f4 b7g2,792,79,98,428,mate mateIn1 middlegame oneMove,https://lichess.org/KUJwljHb#49,
5mdEu,6k1/p1n2ppp/1p6/3RR3/8/2r3P1/P4P1P/6K1 b - - 0 29,c7d5 e5e8,671,78,100,114,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/l7OjhpZK/black#58,
5miP2,2k5/3r1ppp/p7/2Nn4/1p6/7P/PP3PP1/2K1R3 b - - 0 27,d7c7 e1e8,582,92,100,46,endgame mate mateIn1 oneMove,https://lichess.org/dxqxEpQk/black#54,
5mjjI,5rk1/2Q4p/3p2p1/p1nP4/7R/P5B1/2q2PKP/8 b - - 0 32,a5a4 c7h7,721,78,100,176,endgame mate mateIn1 oneMove,https://lichess.org/bvdmm8dV/black#64,
5mmsu,r4r1k/1p2Npbp/1q1p1B2/p2P4/P1p2Q2/2N4P/1n4P1/R4R1K b - - 1 21,g7f6 f4f6,530,83,98,462,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/VDwFqm8y/black#42,
5n4S2,1k1r3r/pp5p/3pBpp1/4b3/P2Pb3/4B3/1q4PP/2RQ1RK1 w - - 0 21,d4e5 b2g2,786,77,100,289,middlegame,https://lichess.org/prZ6EpeI#41,
5nDxk,2r2rk1/1b2bppp/4pn2/1N1qN3/2pP4/P7/QB3PPP/2RR2K1 w - - 1 20,b5c3 d5g2,487,92,100,326,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/hEDOGabJ#39,
5nHTe,5k1r/4npp1/1pnRp2p/7P/3N4/6N1/PPP2PP1/2K5 b - - 5 22,c6d4 d6d8,726,78,100,127,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/SRUH6OPc/black#44,
5nOnx,rn3rk1/pp3pp1/2b1p2p/2bqN3/8/2PBP3/PBQ2PPP/R4RK1 w - - 4 14,c3c4 d5g2,660,77,100,134,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/M7yv5TFG#27,Queens_Gambit_Declined Queens_Gambit_Declined_Normal_Defense
