PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0GXCE,r4rk1/5p1p/3p2pP/2pQ4/pp6/4RP2/1PP3P1/qNKR4 w - - 0 23,g2g4 a4a3 b2a3 b4a3,1608,75,97,4840,advantage middlegame short,https://lichess.org/fWkAwaYB#45,
0GY2R,8/kpp5/p4P2/4p1Q1/2P3P1/1P2RK2/P2q2P1/6r1 w - - 1 42,g5e5 d2g2 f3f4 g2g4,1743,76,97,1827,endgame mate mateIn2 short,https://lichess.org/zAcS2Rdq#83,
0GY5k,2r1r3/1pq1n2k/p2p1Qp1/8/P1B1PP2/3R4/1P4PP/6K1 b - - 0 24,c7c4 d3h3 h7g8 h3h8,1587,73,97,15657,endgame mate mateIn2 short,https://lichess.org/TNB4UWhS/black#48,
0GZum,2rr2k1/5pp1/p3b2p/1p1pq1n1/3Q4/4PBPP/PP2NP1K/2R2R2 w - - 5 24,d4e5 g5f3 h2g2 f3e5,1017,75,100,299,middlegame,https://lichess.org/P9sQ2APw#47,
0GaA3,r3k3/p4p2/1pq1pnr1/8/3Pp2Q/P7/2PB1PPP/R3K2R w KQq - 0 18,e1g1 e4e3 g2g3 e3d2,1374,75,97,757,advancedPawn advantage master middlegame short,https://lichess.org/3LhlWOD7#35,French_Defense French_Defense_Winawer_Variation
0GbcG,5k2/4p3/PR4p1/4Pp1p/5P2/1B3bP1/1r6/5K2 w - - 0 35,b6b5 f3e2 f1e1 e2b5,1340,75,97,2947,crushing endgame fork master short,https://lichess.org/9Z77RtCp#69,
0GbpV,8/8/2q5/6pp/p6k/P2Q1P2/6KP/8 b - - 0 44,g5g4 d3d8 c6f6 d8f6,1045,76,100,325,endgame mate mateIn2 queenEndgame short,https://lichess.org/249tvr8p/black#88,
0GcoK,5r2/4bpk1/8/1b1ppqP1/3P4/P5K1/1P1B2P1/R2Q3R w - - 0 26,d1h5 f5d3 h5f3 d3d2,1609,74,97,25411,advantage fork middlegame short,https://lichess.org/uKgAl4mV#51,
0Ge39,6k1/R5p1/1P6/4N1p1/2N1b3/2P5/5Kr1/2n5 w - - 0 38,f2e3 g2e2 e3d4 c1b3,1079,86,100,48,endgame mate mateIn2 short,https://lichess.org/WEzAeEGs#75,
0Gek3,r6k/p1p4p/1p5Q/8/8/P1P5/2P3PP/4qRK1 b - - 2 23,e1c3 f1f8 a8f8 h6f8,1011,75,100,101,endgame master mate mateIn2 short,https://lichess.org/dTFxqUck/black#46,
0GfRX,5r2/p5kp/bp1r1pn1/4n3/8/2P4B/PP1N1RPP/R1B3K1 w - - 2 22,d2b3 d6d1 f2f1 d1f1,1113,76,97,5220,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/uSh8DPc8#43,
0GgNa,1br2r1k/1pq2ppB/p7/2PpnQ2/1P6/P6P/1B3PP1/R4RK1 w - - 0 22,f5h5 e5f3 g2f3 c7h2,927,94,100,53,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/7DGEcBBK#43,
0GhD4,r2q1rk1/ppp1bppp/4p3/4P2b/1nQnB3/5NBP/PPPN1PP1/R4RK1 b - - 12 15,b7b5 c4d4 d8d4 f3d4,1510,75,100,326,advantage middlegame short,https://lichess.org/VemaLTJR/black#30,Alekhine_Defense Alekhine_Defense_Balogh_Variation
0GhDO,6k1/1p6/p2pr2p/5q2/1PP5/1N2b3/P5QP/4R2K b - - 1 42,g8f7 e1f1 f5f1 g2f1,1599,75,97,2536,advantage endgame pin short,https://lichess.org/J0nw6kmg/black#84,
0GhWB,6k1/p1p2p1p/1q4p1/3r4/3bQ3/1P3P2/P5KP/3R4 b - - 1 26,d5d7 e4e8 g8g7 e8d7,1426,389,100,10,endgame equality fork short,https://lichess.org/eEXhfYCT/black#52,
0GhqG,r3r1k1/5pPp/4p3/8/1q2P3/1P5P/PQ6/1K3RR1 w - - 1 33,f1f7 b4e4 b2c2 e4c2,1288,79,100,121,advantage endgame master short,https://lichess.org/pOSUKlxO#65,
0GjTZ,8/5Rp1/1p5p/p1pBk3/2P5/4P1PP/1r3bK1/8 w - - 2 40,f7f2 b2f2 g2f2 a5a4,1291,75,100,364,crushing defensiveMove endgame short,https://lichess.org/AlyE9JKq#79,
0Gk2j,r2qr1k1/p1p3pp/1p6/3n3Q/5P2/1P1P4/1PP3PP/4RRK1 b - - 5 18,d8d6 e1e8 a8e8 h5e8,1210,93,100,51,advantage kingsideAttack middlegame short,https://lichess.org/AnDKGXt8/black#36,Nimzowitsch_Defense Nimzowitsch_Defense_Other_variations
0Gkxw,2k2b1r/p4Rp1/2pq4/8/3rn3/4N3/PP2Q1P1/R1B3K1 w - - 1 20,e2a6 c8d8 a6a5 d8e8,1167,75,98,1827,advantage middlegame short,https://lichess.org/dtCdNWi2#39,
0GmCU,r1b1k3/1pq1np1r/p2p1Bp1/3P4/1b3PQ1/1N6/PPP3PP/4RRK1 w q - 0 19,e1e7 c7e7 f6e7 c8g4,1639,74,98,2267,advantage master middlegame short,https://lichess.org/7uIsK247#37,
0GnPa,3k4/3r2p1/1p3p2/p4P2/3R4/8/PP1p1PPP/2rR2K1 w - - 5 35,d4d2 c1d1 d2d1 d7d1,863,78,100,119,backRankMate endgame mate mateIn2 rookEndgame short xRayAttack,https://lichess.org/r0h3O2n0#69,
0Gpj8,5rk1/5pp1/3R3p/2P1Q1n1/4P1q1/1P4P1/P4PKP/4R3 w - - 3 30,f2f4 g4f3 g2g1 g5h3,1041,74,98,424,endgame mate mateIn2 short,https://lichess.org/XlBJ9zvk#59,
0Gqve,8/8/8/P7/5p2/1KRq1k2/8/8 b - - 11 63,f3e3 c3d3 e3d3 a5a6,1037,82,100,78,crushing endgame master short,https://lichess.org/P2gDbfdz/black#126,
0Gr7h,1r4k1/p3rpp1/3p3p/1qp5/5R2/2Q2N2/P1PK1PPP/3R4 w - - 6 23,f4g4 e7e2 d2c1 b5b1,1666,75,100,115,mate mateIn2 middlegame short,https://lichess.org/ksw23Cei#45,
0GrVI,r1k2b1r/2q2Rpp/p1n1P3/1p1Qp3/8/4p3/PP4PP/3R2K1 b - - 1 25,c7d6 f7f8 h8f8 d5d6,1640,74,100,276,crushing middlegame short,https://lichess.org/Tpa3yhGo/black#50,
0GxNJ,5rk1/1b1p2p1/4ppp1/p7/1p3KPQ/P3R3/2P4P/8 w - - 0 41,e3h3 g6g5 f4e3 g5h4,1131,75,98,279,crushing endgame fork short,https://lichess.org/jHz5MZpi#81,
0Gzs1,6k1/1R4b1/3B2R1/5p2/p2PpP2/P1KrP3/1P6/5r2 w - - 7 48,c3b4 d3b3 b4a4 b3b7,1017,77,100,128,advantage endgame master short skewer,https://lichess.org/0mBby5L2#95,
0GzwQ,6k1/1R6/6P1/6K1/8/6p1/7r/8 b - - 9 64,g3g2 g5f6 g2g1q b7b8,1654,75,97,205,endgame mate mateIn2 rookEndgame short,https://lichess.org/HlJwGkeq/black#128,
0H2EI,r5q1/pp4pk/2p3Np/5Q2/4r3/8/6PP/R6K b - - 3 28,g8e6 g6f8 h7g8 f8e6,1051,74,97,7890,crushing doubleCheck endgame fork short,https://lichess.org/OKHzYzz6/black#56,
0H31a,2kr3r/ppp4p/4bN2/8/Q1Pn4/8/1P2PP1P/R4K1R w - - 0 20,a4a7 e6h3 f1e1 d4c2,1018,76,100,498,mate mateIn2 middlegame short,https://lichess.org/020fpebc#39,
0H3T3,4R3/8/6p1/8/4NK1n/5P2/5kr1/8 b - - 7 64,f2f1 e4g3 g2g3 f4g3,1516,77,100,1988,crushing endgame short,https://lichess.org/z4rvmIFp/black#128,
0H417,r7/pp3ppk/3Qq1bp/2Pp4/1P1R2P1/r4P2/4P2P/2R2BK1 w - - 0 28,d6d5 e6e3 g1g2 e3c1,1503,76,100,952,advantage fork middlegame short,https://lichess.org/p90SdNqc#55,
0H4GA,r2k3r/4qp2/p3pNp1/1p1pn2p/7Q/2P3P1/PP1N1P1P/R3K2R w KQ - 0 22,h4f4 e5d3 e1e2 d3f4,889,77,100,528,advantage fork middlegame short,https://lichess.org/i4LK4uKH#43,
0H4P3,8/p1q1ppkp/2pp2p1/1r4B1/3n1QP1/2P5/P1P2P1P/4R1K1 b - - 2 26,d4e6 g5h6 g7g8 e1e6,1425,74,100,323,advantage endgame short,https://lichess.org/ounqJUZt/black#52,
0H6Ff,5k2/6p1/4p2p/3pN2P/3P4/6P1/r1q5/5QK1 b - - 1 37,f8e7 f1f7 e7d6 f7d7,1500,500,100,6,endgame mate mateIn2 short,https://lichess.org/EuevVqW6/black#74,
